Name,SMILES,InChI,InChIKey,Source,FooDB ID,DNMT1,DNMT3a,DNMT3b,HAT/Ep300,HAT2B/Ep300,HAT3B/p300,EZH2,PRMT1,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,LSD1,KDM1A,KDM1B,KDM2A,KDM2B,KDM3A,KDM3B,KDM4A,KDM4B,KDM4C,KDM4D,KDM5A,KDM5B,KDM5C,KDM5D,KDM6A,KDM6B,KDM7A,KDM8,BET/BRD4,Unknown epigenetic target DNMT,Unknown epigenetic target HAT,Unknown epigenetic target HDAC,Unknown epigenetic target,Total Targets,COCONUT ID,DOI
"3,3′-Diindolylmethane (DIM)",C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43,"InChI=1S/C17H14N2/c1-3-7-16-14(5-1)12(10-18-16)9-13-11-19-17-8-4-2-6-15(13)17/h1-8,10-11,18-19H,9H2",VFTRKSBEFQDZKX-UHFFFAOYSA-N,"Cruciferous vegetables (broccoli, cauliflower, cabbage)",Not in database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Not in database,10.3390/nu13113714
Abscisic Acid,CC(/C=C/C1(O)C(=CC(=O)CC1(C)C)C)=C\C(O)=O,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7+",JLIDBLDQVAYHNE-WEYXYWBQSA-N,"Figs, dates",FDB014933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0348313,"10.3390/ijms22105069,10.1007/s13562-021-00739-0,10.1016/j.jplph.2017.03.018"
Acetyl-L-Carnitine,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,"Red meat, fish, poultry, dairy products",FDB093666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Not in database,"10.1016/j.phrs.2021.105874,10.1016/j.arr.2017.09.006"
Acetylcholine,CC(=O)OCC[N+](C)(C)C,"InChI=1S/C7H16NO2/c1-7(9)10-6-5-8(2,3)4/h5-6H2,1-4H3/q+1",OIPILFWXSMYKGL-UHFFFAOYSA-N,"Eggs, liver, peanuts, soybeans",FDB004643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Not in database,10.3390/nu11122995
Aflatoxin B1,COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCC5=O)c14,"InChI=1S/C17H12O6/c1-20-10-6-11-14(8-4-5-21-17(8)22-11)15-13(10)7-2-3-9(18)12(7)16(19)23-15/h4-6,8,17H,2-3H2,1H3",OQIQSTLJSLGHID-UHFFFAOYSA-N,"Peanuts, corn, tree nuts",FDB014816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0296840,10.1016/j.fct.2017.06.034
Ajoene,C=CCSS\C=C\C[S](=O)CC=C,"InChI=1S/C9H14OS3/c1-3-6-11-12-7-5-9-13(10)8-4-2/h3-5,7H,1-2,6,8-9H2/b7-5+",IXELFRRANAOWSF-FNORWQNLSA-N,Garlic (aged or fermented preparations),FDB011636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0109492,10.1155/2021/9995903
All-Trans Retinoic Acid,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14+",SHGAZHPCJJPHSC-YCNIQYBTSA-N,"Animal-based foods (liver, fish oils, dairy products)",FDB022710,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Not in database,10.3390/nu13113714
Allicin,C=CCS[S](=O)CC=C,"InChI=1S/C6H10OS2/c1-3-5-8-9(7)6-4-2/h3-4H,1-2,5-6H2",JDLKFOPOAOFWQN-UHFFFAOYSA-N,"Soft-neck garlic, abalone, abiyuch, acerola, acorn, adzuki bean, agar, agave, alaskan blueberry, and alaskan wild rhubarb",FDB012190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CNP0293231,"10.1002/tcr.201800133,10.3390/cancers15030697"
Alliin,N[C@@H](C[S](=O)CC=C)C(O)=O,"InChI=1S/C6H11NO3S/c1-2-3-11(10)4-5(7)6(8)9/h2,5H,1,3-4,7H2,(H,8,9)/t5-,11?/m0/s1",XUHLIQGRKRUKPH-ITZCMCNPSA-N,"Soft-neck garlic, abalone, abiyuch, acerola, acorn, adzuki bean, agar, agave, alaskan blueberry, and alaskan wild rhubarb",FDB000558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,CNP0232043,10.1002/tcr.201800133
Allyl mercaptan,SCC=C,"InChI=1S/C3H6S/c1-2-3-4/h2,4H,1,3H2",ULIKDJVNUXNQHS-UHFFFAOYSA-N,"Chives, garden onions, green onions, red onions, soft neck garlic, and welsh onions",FDB008283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Not in database,10.1080/10408398.2019.1571480
