Epigenetic target ,Target type,Epigenetic tool,Gene,Associated diseases,Reference (DOI) 
DNMT,Enzyme,Writer,"RARbeta, p16INK4a y MGMT",Squamous cell carcinoma of the esophagus,10.3389/fonc.2020.605386
,,,RARbeta,Prostate cancer,
,,,RARbeta,Breast cancer ,
,,,Not reported,Neuroblastoma,
,,,RUNX3,Colorectal adenocarcinoma ,10.3390/nu13113714
,,,GLP1R,Diabetes mellitus type 2,10.1007/s11010-021-04285-0
,,,ADCY5,Diabetes mellitus type 2,10.3390/biomedicines9080977
,,,CDKN1A,Diabetes mellitus type 2,
,,,FTO,Diabetes mellitus type 2,
,,,INS,Diabetes mellitus type 2,
,,,KCNQ1,Diabetes mellitus type 2,
,,,PDE7B,Diabetes mellitus type 2,
,,,PDX1,Diabetes mellitus type 2,
,,,PPARGC1A,Diabetes mellitus type 2,
,,,sep-09,Diabetes mellitus type 2,
,,,SOCS2,Diabetes mellitus type 2,
,,,TCF7L2,Diabetes mellitus type 2,
,,,ATP10A,Obesity,10.3390/biomedicines9080977
,,,IRS1,Obesity,
,,,JARID2,Obesity,
,,,KCNQ1,Obesity,
,,,NDUFB4,Obesity,
,,,PPARG,Obesity,
,,,TCF7L2,Obesity,
,,,PDX1,Diabetes mellitus type 2,10.1186/s13148-020-00896-4
,,,PPARGC1A,Diabetes mellitus type 2,
,,,FOSL2,Diabetes mellitus type 2,
,,,PTPN1,Diabetes mellitus type 2,
,,,SLC30A8,Diabetes mellitus type 2,
,,,IGF-1,Diabetes mellitus type 2,
,,,IGFBP-1,Diabetes mellitus type 2,
,,,IGFBP-7,Diabetes mellitus type 2,
,,,GCK,Diabetes mellitus type 2,
,,,MCP-1,Diabetes mellitus type 2,
,,,TP53,Diabetes mellitus type 2,
,,,BRCA1,Diabetes mellitus type 2,
,,,SCARA3,Diabetes mellitus type 2,
,,,PRDX2,Diabetes mellitus type 2,
,,,PRKCZ,Diabetes mellitus type 2,
,,,GIPR,Diabetes mellitus type 2,
,,,PTPRD,Diabetes mellitus type 2,
,,,PDK4,Diabetes mellitus type 2,
,,,PPARG,Diabetes mellitus type 2,
,,,ABCG1,Diabetes mellitus type 2,
,,,FOSFO1,Diabetes mellitus type 2,
,,,TXNIP,Diabetes mellitus type 2,
,,,SREBF1,Diabetes mellitus type 2,
,,,EXOC3L2,Diabetes mellitus type 2,
,,,CDKN1A,Diabetes mellitus type 2,
,,,PDE7B,Diabetes mellitus type 2,
,,,sep-09,Diabetes mellitus type 2,
,,,SLC2A2,Diabetes mellitus type 2,
,,,DVL1,Diabetes mellitus type 2,
,,,HIST1H4D,Diabetes mellitus type 2,
,,,LOXL2,Diabetes mellitus type 2,
,,,SLC1A5,Diabetes mellitus type 2,
,,,FTO,Diabetes mellitus type 2,
,,,MSI2,Diabetes mellitus type 2,
,,,NR4A1,Diabetes mellitus type 2,
,,,Not reported,Atherosclerosis,10.1016/j.tem.2018.04.007
,,,HOXA,Alzheimer's,10.3390/genes12121959
DNMT1,Enzyme,Writer,"CEACAM5, DHRS3, RGS16",Breast cancer ,10.3389/fonc.2020.605386
,,,RARβ2 ,Breast cancer ,
,,,"RARb, p12 y p16",Bladder cervical cancer,
,,,APC,Cervical cancer,
,,,p21,Prostate cancer,
,,,APC y RARB,Prostate cancer,
,,,Not reported,Colon cancer,
,,,SLIT2 y TIMP-3,Lung cancer,
,,,WIF-1,Non-small cell lung cancer,
,,,HIF-1Alfa,Myeloid leukemia,
,,,p15,Myeloid leukemia,
,,,CDKN2A y RARb,Gastric cancer,
,,,RASSF1A,Prostate cancer,10.3390/nu13113714
,,,NR4A1,Diabetes mellitus type 2,10.1007/s11010-021-04285-0
,,,PDX1,Diabetes mellitus type 2,10.1186/s13148-020-00896-4
DNMT3a,Enzyme,Writer,RARβ2 ,Breast cancer ,10.3389/fonc.2020.605386
,,,"CEACAM5, DHRS3, RGS16",Breast cancer ,
,,,CDKN2A y RARb,Gastric cancer,
,,,"p16, HAI-2/PB y NQO1",Hepatocellular carcinoma,
,,,WIF-1,Non-small cell lung cancer,
DNMT3b,Enzyme,Writer,RASSF1A,Colon cancer,10.3389/fonc.2020.605386
,,,RASSF1A,Lung cancer,
,,,RASSF1A,Prostate cancer,
,,,RASSF1A,Prostate cancer,10.3390/nu13113714
HDAC,Enzyme,Eraser,"RARβ, MGMT, p16INK4a y hMLH1",Squamous cell carcinoma,10.3389/fonc.2020.605386
,,,p21,Lung carcinoma,
,,," p-RB, p15, p16, p21, p27",Neuroblastoma,
,,,Not described,Multiple myeloma,
,,,Not described,Atherosclerosis,10.1016/j.tem.2018.04.007
,,,Not described,Obesity and metabolic diseases,10.1111/obr.13054
HDAC 1,Enzyme,Eraser,HIF-1alfa,Colon cancer,10.3389/fonc.2020.605386
,,,MITF-M,Melanoma ,
,,,"BRCA1,2 /Ras/ERα/ERβ/PR/Her y p21/p53",Breast cancer ,
,,,HIN-1,Thyroid cancer,
,,,p21,Prostate cancer,
,,,DAPK,Gastric cancer,
,,,Not described,Gastric cancer,10.2174/0929867325666180530094120
,,,Not described,Breast cancer ,
,,,Not described,Esophagus cancer,
,,,Not described,Colon cancer,
,,,Not described,Cutaneous T-cell lymphoma,
,,,Not described,Prostate cancer,
HDAC 2 ,Enzyme,Eraser,Not described,Melanoma ,10.3389/fonc.2020.605386
,,,Not described,Colon cancer,
,,,MICA,Non-small cell lung cancer,
,,,WWOX y P27,Ovarian cancer,
,,," BRCA1, 2/Ras/ERα/ERβ/PR/Her",Breast cancer ,
,,,Not described,Colon cancer,10.2174/0929867325666180530094120
,,,Not described,Prostate cancer,
,,,Not described,Gastric cancer,
,,,Not described,Endometrial cancer,
,,,Not described,Cutaneous T-cell lymphoma,
,,,Not described,Alzheimer's,10.3390/genes12121959
HDAC 3,Enzyme,Eraser,p21,Promyelocytic leukemia,10.3389/fonc.2020.605386
,,,SUV39 y G9a,Lung cancer,
,,,"p16, SALL3 y GATA4",Colon and pancreatic cancer,
,,,PHD2 y p21,Cervical cancer,
,,,ER alfa y Erb,Breast cancer ,
,,,Not described,Endometrial cancer,
,,,Not described,Breast cancer ,10.2174/0929867325666180530094120
,,,Not described,Colon cancer,
,,,Not described,Prostate cancer,
,,,Not described,Atherosclerosis,10.1097/MOL.0000000000000711
,,,Not described,Atherosclerosis,
,,,Not described,Alzheimer's,10.3390/genes12121959
HDAC 4,Enzyme,Eraser,p21,Promyelocytic leukemia,10.3389/fonc.2020.605386
,,,SUV39 y G9a,Lung cancer,
,,,"p16, SALL3 y GATA4",Colon and pancreatic cancer,
,,,PHD2 y p21,Cervical cancer,
,,,ER alfa y Erb,Breast cancer ,
,,,Not described,Endometrial cancer,
,,,RECK y MMP-2,Ovarian cancer,
,,,Not described,Breast cancer ,10.2174/0929867325666180530094120
,,,Not described,Bladder carcinoma,
HDAC 5,Enzyme,Eraser,Not described,Lung cancer,10.2174/0929867325666180530094120
,,,Not described,Melanoma ,
,,,Not described,Acute myeloid leukemia,
HDAC 6,Enzyme,Eraser," BRCA1, 2/Ras/ERα/ERβ/PR/Her",Breast cancer ,10.3389/fonc.2020.605386
,,,Not described,Breast cancer ,10.2174/0929867325666180530094120
,,,Not described,Oral cancer,
,,,Not described,Cutaneous T-cell lymphoma,
HDAC 7,Enzyme,Eraser,Not described,Pancreatic adenocarcinomas,10.2174/0929867325666180530094120
,,,Not described,Colorectal cancer,
,,,PDX1,Diabetes mellitus type 2,10.2147/DMSO.S291932
HDAC 8,Enzyme,Eraser,p21,Promyelocytic leukemia,10.3389/fonc.2020.605386
,,,SUV39 y G9a,Lung cancer,
,,,"p16, SALL3 y GATA4",Colon and pancreatic cancer,
,,,PHD2 y p21,Cervical cancer,
,,,ER alfa y Erb,Breast cancer ,
,,,Not described,Oral squamous cell carcinoma,
,,,Not described,Non-small cell lung cancer,10.2174/0929867325666180530094120
,,,Not described,Colon cancer,
,,,Not described,Breast cancer ,
,,,Not described,Neuroblastoma,
HDAC 9,Enzyme,Eraser,Not described,Lung cancer,10.2174/0929867325666180530094120
,,,Not described,Meduloblastomas ,
,,,Not described,Astrocytomas,
HDAC 10,Enzyme,Eraser,Not described,Lung cancer,10.2174/0929867325666180530094120
,,,Not described,Hepatocellular carcinoma,
HDAC 11,Enzyme,Eraser,Not described,Hodgkin lymphoma,10.2174/0929867325666180530094120
SIRT 1,Enzyme,Eraser,Not described,Ovarian cancer,10.3389/fonc.2020.605386
,,,Not described,Colon cancer,
,,,Not described,Cervical cancer,
,,,"p21, pRb y CDK",Endometrial cancer,
,,,p53,Breast cancer ,
,,,p53,Acute myeloid leukemia,10.2174/0929867325666180530094120
,,,p53,Colon cancer,
,,,p53,Bladder cancer,
,,,p53,Prostate cancer,
,,,p53,Ovarian cancer,
,,,Not described,Atherosclerosis,10.1016/j.tem.2018.04.007
,,,p300,Alzheimer's,10.3390/genes12121959
